policy,policy_label,runs,coverage_pass,runtime_pass,numeric_pass,mechanism_evidence_pass,selection_gate_pass,coverage_violations_total,temporal_evidence_activations_total,learner_change_detections_total,mean_ir,ir_ci95,p10_ir,mean_capped_tti,mean_capped_p95_tti,mean_reward_per_receiver_time,mean_retune_dead_fraction,mean_brier,mean_runtime_per_slot_ms,p95_runtime_per_slot_ms,complexity_rank
rafts_swucb,RAFTS-SWUCB,480,True,True,True,True,True,0,676509,0,0.16938254305650702,0.01841616866609706,0.07016724053123463,6.114505479054365,12.512840909090906,0.08289855769230768,0.1307633012820513,0.08950956923472426,0.782302205352541,3.017184030771133,3
rafts_cusum_ucb,RAFTS-CUSUM-UCB,480,True,True,True,True,True,0,749163,828,0.17334252453229895,0.01895544668066099,0.06971377459749553,6.039510901861341,12.536931818181815,0.09061490384615384,0.13175592948717946,0.06593224708688271,0.7418388863782394,2.925333315384425,3
rafts_ucb,RAFTS-UCB,480,True,True,True,True,True,0,751059,0,0.17205157050595524,0.019004083670965625,0.06911340216851515,6.041715256747322,12.501022727272721,0.09046233974358975,0.1314161858974359,0.06727779295574456,0.7378043310898239,2.8928638384615892,1
rafts_ducb,RAFTS-DUCB,480,True,True,True,True,True,0,677610,0,0.1635086163266056,0.01855466655257132,0.0655584495173893,6.156604616284318,12.774204545454541,0.07884727564102564,0.12968814102564102,0.0733012341136667,1.7232632490384965,2.8911303538468602,2
rafts_temporal,RAFTS-Temporal,480,True,True,True,True,True,0,614695,0,0.14704607495802416,0.01810682321709818,0.06153846153846154,6.149171178767541,12.277727272727265,0.07015384615384615,0.12953846153846152,0.060370689495459956,0.705839330833324,2.8547047615380645,4
rafts_cpts,RAFTS-CP-TS,480,True,True,True,True,True,0,385480,118,0.20578416713106762,0.024517471934069678,0.05384615384615385,5.287428313701078,11.175681818181815,0.14512163461538463,0.32967195512820513,0.08336691974045883,0.5406611467307328,2.402811146155585,3
rafts_ts,RAFTS-TS,480,True,True,True,True,True,0,382401,0,0.20575232759399734,0.024521890875782833,0.05384615384615385,5.290839829237034,11.163636363636359,0.14282403846153846,0.32928285256410256,0.08607040382345736,0.5101441282051248,2.257444530770531,1
rafts_swts,RAFTS-SWTS,480,True,True,True,True,True,0,373005,0,0.1804919513549343,0.024600687778760302,0.04735625454251797,5.37381883841958,10.691363636363635,0.1392900641025641,0.3650197115384615,0.1211919417411401,1.2372485743590036,2.2629678076921715,3
rafts_dts,RAFTS-DTS,480,True,True,True,True,True,0,369454,0,0.17768407383473697,0.0246707840538969,0.043111014897762395,5.354101418938728,11.248409090909087,0.13866314102564103,0.37126330128205126,0.10313291777384066,0.5154600871474334,2.187323407693137,2
rafts_exp3s,RAFTS-EXP3.S,480,True,True,True,True,True,0,25095,0,0.15851326861454354,0.01987262971039357,0.03792537061994609,3.3990816998110076,7.913522727272725,0.046385416666666665,0.5090847756410256,0.07486814413930999,0.38739172634605856,1.6376500538483982,2
rafts_glr_klucb,RAFTS-GLR-KL-UCB*,480,False,True,True,True,False,5,737551,208,0.20516565835963366,0.023181434314916132,0.06513316687473991,5.669838711660013,11.372840909090904,0.12772259615384612,0.14873445512820513,0.07488830533195813,4.577585585352636,16.84247771538447,4
rafts_klucb,RAFTS-KL-UCB,480,False,True,True,True,False,2,737361,0,0.20617966367517884,0.023206792369919824,0.06481481481481481,5.6660853539390965,11.370454545454539,0.12745432692307693,0.1485684294871795,0.07639369981531997,9.869500723750042,16.859351561537128,2
rafts_linucb,RAFTS-LinUCB,480,False,True,True,True,False,8,615777,0,0.2028610863972394,0.02391696784485627,0.06245525059665871,5.737602274085111,11.712727272727266,0.12479647435897438,0.17183317307692306,0.07739363043681274,2.0521629620512085,7.514924876923308,4
