source,policy,policy_label,interception_ratio,capped_mean_tti,capped_p95_tti,avg_reward_per_receiver_time,retune_dead_fraction,coverage_violations,runtime_per_slot_seconds
simulator,rafts_ts,RAFTS-TS,0.1720521023198953,5.4644096465312595,9.807083333333335,0.06405384615384616,0.3588519230769231,0.0,0.0005255882438461343
simulator,rafts_cpts,RAFTS-CP-TS,0.17204501509145873,5.464456061213253,9.807083333333335,0.06398846153846154,0.3589038461538462,0.0,0.0005594087480768814
simulator,rafts_glr_klucb,RAFTS-GLR-KL-UCB*,0.1620291104838008,5.8923802003456744,9.857916666666668,0.0626846153846154,0.15025384615384615,0.0125,0.004878700546923133
simulator,rafts_linucb,RAFTS-LinUCB,0.1614179972222417,5.893830889943508,9.851250000000002,0.06228076923076923,0.1769923076923077,0.02,0.002176852363461512
simulator,rafts_klucb,RAFTS-KL-UCB,0.16128171263638444,5.895874659682946,9.857916666666668,0.0626576923076923,0.15000961538461538,0.005,0.01123538824000008
simulator,rafts_swucb,RAFTS-SWUCB,0.14977393279919402,5.938824986959917,9.849583333333335,0.059930769230769225,0.13473846153846153,0.0,0.0008354419269230605
simulator,rafts_cusum_ucb,RAFTS-CUSUM-UCB,0.1484320132466755,5.9319322723697505,9.842222222222224,0.05999038461538461,0.1347596153846154,0.0,0.0007920497411539215
simulator,rafts_ucb,RAFTS-UCB,0.14682411256175387,5.937727267465175,9.842222222222224,0.05974230769230769,0.1343269230769231,0.0,0.0007883784123077441
simulator,rafts_ducb,RAFTS-DUCB,0.14297859598389348,5.9497681882175195,9.84777777777778,0.059169230769230766,0.13388076923076922,0.0,0.0019725454088461727
simulator,random,Random,0.14059038420116965,3.4140389410443626,7.1980555555555545,0.04483076923076923,0.32966153846153845,841.64,0.00012162418038458501
simulator,rafts_swts,RAFTS-SWTS,0.13998238650176578,5.595822917066445,9.403472222222224,0.057098076923076925,0.4025961538461539,0.0,0.0013843494442307511
simulator,rafts_temporal,RAFTS-Temporal,0.13888336350197597,5.880723260423197,9.27263888888889,0.05720961538461539,0.13384615384615384,0.0,0.0007596982150000119
simulator,rafts_dts,RAFTS-DTS,0.13746000275361925,5.564453247740426,9.99388888888889,0.05665576923076923,0.4094634615384616,0.0,0.0005238868030769481
simulator,coverage_sweep,Coverage Sweep,0.13490478000066702,2.5608394509136994,4.383333333333334,0.03249615384615385,0.5231653846153846,0.0,2.7221483461471505e-05
simulator,rafts_exp3s,RAFTS-EXP3.S,0.13170264771149826,3.040083737443656,6.215,0.032925,0.5134692307692308,0.0,0.000397859534615292
simulator,sequential,Sequential,0.12996161083815685,2.5655913976759326,4.392222222222222,0.03228076923076923,0.5249230769230769,0.0,2.621696884620038e-05
tsrd,rafts_klucb,RAFTS-KL-UCB,0.40822044334975366,4.632033478091781,18.17687499999996,0.45143750000000005,0.1413625,0.0,0.0030400631424998665
tsrd,rafts_glr_klucb,RAFTS-GLR-KL-UCB*,0.3992801238008815,4.66840201257454,18.18999999999996,0.45291249999999994,0.1411375,0.0,0.003072010777500145
tsrd,rafts_linucb,RAFTS-LinUCB,0.3893549876847291,5.034573502722322,20.089374999999958,0.437375,0.1460375,0.0,0.0014287159549996886
tsrd,rafts_swts,RAFTS-SWTS,0.3627849931941924,4.374800484508685,16.48687499999998,0.55025,0.1771375,0.0,0.000501744225000266
tsrd,rafts_dts,RAFTS-DTS,0.3586923936997667,4.407518189331086,16.893749999999976,0.5487,0.1802625,0.0,0.0004733265074998599
tsrd,rafts_cpts,RAFTS-CP-TS,0.35761035130930774,4.490803449896292,17.334374999999977,0.5507875,0.1835125,0.0,0.00044692313999998985
tsrd,rafts_ts,RAFTS-TS,0.35740334132745655,4.509775651413015,17.268124999999976,0.536675,0.1814375,0.0,0.00043292355000007775
tsrd,sequential,Sequential,0.315932881773399,4.292166839512574,12.699999999999996,0.09938749999999999,0.5,0.0,1.8144180000444977e-05
tsrd,rafts_ucb,RAFTS-UCB,0.2855751312548613,6.509661208516983,24.465624999999967,0.2440625,0.11686250000000001,0.0,0.0004849339250002231
tsrd,rafts_cusum_ucb,RAFTS-CUSUM-UCB,0.28543982531760437,6.523614734573504,24.663124999999965,0.2437375,0.11673750000000001,0.0,0.0004907846124998286
tsrd,coverage_sweep,Coverage Sweep,0.28224615957998445,4.643520303992741,13.484999999999989,0.0978125,0.49775,0.0,1.8963017499982015e-05
tsrd,rafts_exp3s,RAFTS-EXP3.S,0.27916106267824736,5.014572530464092,15.556874999999986,0.11368750000000001,0.4871625,0.0,0.0003350526849998914
tsrd,rafts_swucb,RAFTS-SWUCB,0.25762128921441535,6.905067693479388,24.49749999999998,0.1977375,0.1108875,0.0,0.0005166035974999431
tsrd,rafts_ducb,RAFTS-DUCB,0.25589370786880994,7.08736854258491,25.94312499999997,0.1772375,0.108725,0.0,0.00047685245000011486
tsrd,random,Random,0.22651814071817475,5.98547101860254,19.27437499999998,0.13425,0.31805,459.55,8.765041750011733e-05
tsrd,rafts_temporal,RAFTS-Temporal,0.18377827651024112,7.357186811317087,25.80062499999996,0.134875,0.10800000000000001,0.0,0.0004365449099998841
